"","Player","Position","Points","Total.Rebounds","Assists","Steals","Blocks","Missed.Field.Goals","Missed.Free.Throws","Turnovers","Games.Played","Efficiency.Index","Salary..."
"102","Darren Collison","PG",1035,169,318,76,4,399,32,130,74,1.05771516597246,5013559
"103","Darrun Hilliard","SG",152,45,27,9,1,79,11,19,38,0.159879796383822,525093
"104","David Lee","PF",214,130,54,12,13,105,11,38,30,0.718923541224951,15493680
"105","David West","PF",554,309,143,44,55,204,17,68,78,1.58554694586655,1499000
"106","DeAndre Jordan","C",980,1059,90,51,177,151,353,107,77,2.17703289870573,19500000
"107","Delon Wright","PG",103,37,31,8,3,44,9,16,27,0.383263559516666,1509360
"108","DeMar DeRozan","SG",1830,349,315,81,21,763,98,175,78,1.24975787797379,9500000
"109","DeMarcus Cousins","C",1748,747,214,101,92,731,187,249,65,1.73349322632744,14728844
"110","DeMarre Carroll","SF",286,122,27,44,6,165,20,28,26,1.16222146282406,13500000
"111","Dennis Schroder","PG",879,204,349,70,9,452,38,183,80,0.660351521828961,1763400
"112","Deron Williams","PG",918,190,378,61,14,454,27,150,65,1.20112828356647,5500000
"113","Derrick Favors","PF",1016,503,94,74,91,393,74,104,62,1.95604302881385,11933333
"114","Derrick Rose","PG",1080,225,311,44,14,601,37,175,66,0.56184957665558,20093063
"115","Derrick Williams","SF",746,296,75,29,9,311,62,61,80,0.309445660826047,4900000
"116","Devin Booker","SG",1048,187,200,44,20,500,41,160,76,0.56252955549006,2127840
"117","Devin Harris","PG",487,138,118,60,13,207,39,66,64,0.859025786037337,4053000
"118","Devyn Marble","SG",60,38,12,13,1,50,14,7,28,0.158371982465942,845059
"119","Dewayne Dedmon","C",255,228,13,22,46,78,19,32,58,1.01701448422295,947278
"120","Dion Waiters","SG",762,202,154,81,15,424,45,120,78,0.850505870210504,5138430
"121","Dirk Nowitzki","PF",1372,489,132,52,52,614,30,84,75,1.64367365463246,8333334
"122","Donald Sloan","PG",424,173,268,32,4,196,26,80,61,0.954782422193901,1015421
"123","Donatas Motiejunas","PF",230,109,41,17,5,115,19,44,37,0.0498584348485612,2288205
"124","Doug McDermott","SF",764,195,59,14,6,353,12,53,81,0.379801237961576,2380440
"125","Draymond Green","PF",1131,769,598,119,113,418,100,259,81,3.25056031894697,14300000
"126","Drew Gooden","PF",82,85,13,8,11,70,5,13,30,0.475828494332122,3300000
"127","Duje Dukan","SF",6,4,1,1,0,8,0,0,1,1.0054723958277,525093
"128","Dwight Howard","C",976,835,98,69,113,228,242,166,71,1.67441062011728,22359364
"129","Dwight Powell","PF",399,273,44,36,24,150,37,40,69,0.791006156931487,845059
"130","Dwyane Wade","SG",1409,302,344,79,42,643,84,203,74,1.51121936751553,2e+07
"131","E'Twaun Moore","SG",443,133,99,37,18,202,13,53,59,1.37180223643977,1015421
"132","Ed Davis","PF",526,599,88,57,72,131,90,64,81,1.52977497925551,7e+06
"133","Elfrid Payton","PG",778,261,468,89,20,412,78,177,73,1.14924414834878,2505720
"134","Elijah Millsap","SG",36,35,19,7,3,28,5,9,20,0.696348609984416,362878
"135","Elliot Williams","PG",8,4,4,0,0,8,1,1,5,-0.0361833923967256,55722
"136","Elton Brand","C",70,63,18,9,8,41,1,11,17,1.10193824410547,890693
"137","Emmanuel Mudiay","PG",872,232,372,65,35,576,69,217,68,0.601288997093982,3102240
"138","Enes Kanter","C",1038,664,33,26,33,305,51,115,82,0.963853874414517,16400000
"139","Eric Bledsoe","PG",632,125,190,63,19,269,34,110,31,1.93004559247986,13086957
"140","Eric Gordon","SG",686,99,121,43,14,321,14,73,45,1.38127904427849,15514031
